orig,fm_sketch,hyperloglog,hyperloglog64
1151,512,1837,1346
1152,512,1837,1346
1153,512,1837,1346
1154,512,1837,1346
1155,512,1837,1346
1156,512,1837,1526
1157,512,1837,1526
1158,512,1837,1526
1159,512,1837,1526
1160,512,1837,1526
1161,512,1837,1526
1162,512,1837,1526
1163,512,1837,1526
1164,512,1837,1526
1165,512,1837,1526
1166,512,1837,1526
1167,512,1837,1526
1168,512,1837,1526
1169,512,1837,1526
1170,512,1837,1526
1171,512,1837,1526
1172,512,1837,1526
1173,512,1837,1526
1174,512,1837,1526
1175,512,1837,1526
1176,512,1837,1526
1177,512,1837,1526
1178,512,1837,1526
1179,512,1837,1526
1180,512,1837,1526
1181,512,1837,1526
1182,512,1837,1526
1183,512,1837,1526
1184,512,1837,1526
1185,512,1837,1526
1186,512,1837,1526
1187,512,1837,1526
1188,512,1837,1526
1189,512,1837,1526
1190,512,1837,1526
1191,512,1837,1526
1192,512,1837,1526
1193,512,1837,1526
1194,512,1837,1526
1195,512,1837,1526
1196,512,1837,1526
1197,512,1837,1526
1198,512,1837,1526
1199,512,1837,1526
1200,512,1837,1526
1201,512,1837,1526
1202,512,1837,1526
1203,512,1837,1526
1204,512,1837,1526
1205,512,1837,1526
1206,512,1837,1526
1207,512,1837,1526
1208,512,1837,1526
1209,512,1837,1526
1210,512,1837,1526
1211,512,1837,1526
1212,512,1837,1526
1213,512,1837,1526
1214,512,1837,1526
1215,512,1837,1526
1216,512,1837,1526
1217,512,1837,1526
1218,512,1837,1526
1219,512,1837,1526
1220,512,1837,1526
1221,512,1837,1526
1222,512,1837,1526
1223,512,1837,1526
1224,512,1837,1526
1225,512,1837,1526
1226,512,1982,1526
1227,512,1982,1526
1228,512,1982,1526
1229,512,1982,1526
1230,512,1982,1526
1231,512,1982,1526
1232,512,1982,1526
1233,512,1982,1526
1234,512,1982,1526
1235,512,1982,1526
1236,512,1982,1526
1237,512,1982,1526
1238,512,1982,1526
1239,512,1982,1526
1240,512,1982,1526
1241,512,1982,1526
1242,512,1982,1526
1243,512,1982,1526
1244,512,1982,1526
1245,512,1982,1526
1246,512,1982,1526
1247,512,1982,1526
1248,512,1982,1526
1249,512,1982,1526
1250,512,1982,1526
1251,512,1982,1526
1252,512,1982,1526
1253,512,1982,1526
1254,512,1982,1526
1255,512,1982,1526
1256,512,1982,1526
1257,512,1982,1526
1258,512,1982,1526
1259,512,1982,1526
1260,512,1982,1526
1261,512,1982,1526
1262,512,1982,1526
1263,512,1982,1526
1264,512,1982,1526
1265,512,1982,1526
1266,512,1982,1526
1267,512,1982,1526
1268,512,1982,1526
1269,512,1982,1526
1270,512,1982,1526
1271,512,1982,1526
